 序号,Address2,type,value,lable_CHinese,lable_English,funCTion_name,funCTion_label_p,funCTion_label_s,group_obj,group_label_p,group_label_s,maCHine_obj,maCHine_label_p
21,78,Bool,FALSE,故障：商标纸印刷检测,FAIL: BLANK PRINT CHECK,xx_blank_1drum_print_check_function,功能: 盒片印刷检测,FUNCTION: BLANK PRINT CHECK,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
22,79,Bool,FALSE,鼓轮2 上无商标纸　　,NO BLANK ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
23,80,Bool,FALSE,鼓轮2 上商标纸错位：延缓　　,BAD BLANK POSITION ON 2ND DRUM: LATE,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
24,81,Bool,FALSE,故障：鼓轮2 上商标纸的存在,FAULT: BLANK PRESENCE ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
25,82,Bool,FALSE,鼓轮2 上商标纸的存在：内侧检测故障,2ND DRUM BLANK PRESENCE: INNER CHK FAULT,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
26,83,Bool,FALSE,鼓轮2 上商标纸未对直,DISALIGNED BLANK ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
27,84,Bool,FALSE,鼓轮2 上商标纸错位：提前　　　　,BAD BLANK POSITION ON 2ND DRUM: EARLY,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
28,85,Bool,FALSE,鼓轮2 上商标纸的存在：外侧检测故障,2ND DRUM BLANK PRESENCE: OUTER CHK FAULT,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
29,86,Bool,FALSE,鼓轮3 上缺失第一前耳的检测    　,BLANKS WITH NO 1ST FRONT BLANK0EAR DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
30,87,Bool,FALSE,鼓轮3 上无第二前耳的商标纸      　,BLANKS WITH NO 2ND FRONT BLANK0EAR DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
31,88,Bool,FALSE,故障：鼓轮3 上前部商标纸耳检测,FAULT: FRONT BLANK0EAR CHECK 0 DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
34,91,Bool,FALSE,鼓轮3 皮带上商标纸检测器：检测失效,BLANK PRES. ON 3RD D. BELT: INEFF. CHECK,xx_blank_belt_presence_check_function,皮带上盒片存在检测功能,BLANK PRESENCE ON BELT CHECK FUNCTION,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
35,92,Bool,FALSE,鼓轮3 皮带上缺商标纸,BLANK ABSENT ON 3RD DRUM BELT,xx_blank_belt_presence_check_function,皮带上盒片存在检测功能,BLANK PRESENCE ON BELT CHECK FUNCTION,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
36,93,Bool,FALSE,关闭商标纸部件停机,BLANK GROUP STOP BYPASS,xx_blank_checks_disable_function,功能: 关闭盒片部件停机,FUNCTION: BLANK GROUP STOP BYPASS,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
37,94,Bool,FALSE,商标纸胶缸啮合超时,ENGAGED BLANK GLUER TIME OUT,xx_blank_gluer_disengage_function,功能: 盒片涂胶器脱开,FUNCTION: BLANK GLUER RELEASE,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
38,95,Bool,FALSE,未超时的涂胶器再联机,MISSED TIMEOUT GLUER RE0ENGAGE,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
39,96,Bool,FALSE,涂胶器转动／啮合时异常,MALFUNCTION ON ROTATION/GLUER ENGAGE,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
40,97,Bool,FALSE,盒片涂胶器不转动  BLANK,GLUER NOT TURNING,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
41,98,Bool,FALSE,输送器越过后退极限位置,TRANSLATOR OUT FROM BACK END OF RUN,xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
42,99,Bool,FALSE,输送器越过前进极限位置,TRANSLATOR OUT FROM FORWARD END OF RUN,xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
43,100,Bool,FALSE,输送器料库和钳子未停止,"TRANSLATOR IN HOPPER, PINCERS NOT CLOSED",xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
