,week,shift,consumption_id,consumption
91,1.0,2.0,20.0,55.0
92,1.0,2.0,21.0,12.0
93,1.0,2.0,22.0,40.0
94,1.0,2.0,23.0,11.0
95,1.0,2.0,24.0,85.0
96,1.0,2.0,25.0,16.0
97,1.0,2.0,26.0,84.0
98,1.0,2.0,27.0,26.0
99,1.0,2.0,28.0,12.0
100,1.0,2.0,29.0,45.0
101,1.0,2.0,30.0,29.0
102,1.0,2.0,31.0,42.0
103,1.0,2.0,32.0,28.0
104,1.0,2.0,33.0,48.0
105,1.0,2.0,34.0,93.0
106,1.0,2.0,35.0,81.0
107,1.0,2.0,36.0,50.0
108,1.0,2.0,37.0,38.0
109,1.0,2.0,38.0,63.0
110,1.0,2.0,39.0,91.0
111,1.0,2.0,40.0,24.0
112,1.0,2.0,41.0,11.0
113,1.0,2.0,42.0,21.0
114,1.0,2.0,43.0,78.0
115,1.0,2.0,44.0,45.0
116,1.0,2.0,45.0,12.0
117,1.0,2.0,46.0,65.0
118,1.0,2.0,47.0,66.0
119,1.0,2.0,48.0,36.0
120,1.0,2.0,49.0,31.0
121,1.0,2.0,50.0,83.0
122,1.0,2.0,51.0,81.0
123,1.0,2.0,52.0,79.0
124,1.0,2.0,53.0,55.0
125,1.0,2.0,54.0,12.0
126,1.0,2.0,55.0,35.0
127,1.0,2.0,56.0,20.0
128,1.0,2.0,57.0,50.0
129,1.0,2.0,58.0,45.0
130,1.0,2.0,59.0,10.0
131,1.0,2.0,60.0,55.0
132,1.0,2.0,61.0,18.0
133,1.0,2.0,62.0,98.0
134,1.0,2.0,63.0,78.0
135,1.0,2.0,64.0,12.0
136,1.0,2.0,65.0,41.0
137,1.0,2.0,66.0,5.0
138,1.0,2.0,67.0,44.0
139,1.0,2.0,68.0,68.0
140,1.0,2.0,69.0,52.0
141,1.0,2.0,70.0,32.0
142,1.0,3.0,0.0,72.0
143,1.0,3.0,1.0,61.0
144,1.0,3.0,2.0,54.0
145,1.0,3.0,3.0,55.0
146,1.0,3.0,4.0,88.0
147,1.0,3.0,5.0,54.0
148,1.0,3.0,6.0,18.0
149,1.0,3.0,7.0,1.0
150,1.0,3.0,8.0,82.0
151,1.0,3.0,9.0,90.0
152,1.0,3.0,10.0,15.0
153,1.0,3.0,11.0,77.0
154,1.0,3.0,12.0,74.0
155,1.0,3.0,13.0,54.0
156,1.0,3.0,14.0,13.0
157,1.0,3.0,15.0,73.0
158,1.0,3.0,16.0,2.0
159,1.0,3.0,17.0,42.0
160,1.0,3.0,18.0,76.0
161,1.0,3.0,19.0,0.0
162,1.0,3.0,20.0,50.0
163,1.0,3.0,21.0,45.0
164,1.0,3.0,22.0,67.0
165,1.0,3.0,23.0,42.0
166,1.0,3.0,24.0,72.0
167,1.0,3.0,25.0,52.0
168,1.0,3.0,26.0,24.0
169,1.0,3.0,27.0,54.0
170,1.0,3.0,28.0,24.0
171,1.0,3.0,29.0,5.0
172,1.0,3.0,30.0,65.0
173,1.0,3.0,31.0,2.0
174,1.0,3.0,32.0,77.0
175,1.0,3.0,33.0,61.0
176,1.0,3.0,34.0,100.0
177,1.0,3.0,35.0,35.0
178,1.0,3.0,36.0,20.0
179,1.0,3.0,37.0,97.0
180,1.0,3.0,38.0,9.0
181,1.0,3.0,39.0,17.0
182,1.0,3.0,40.0,37.0
183,1.0,3.0,41.0,53.0
184,1.0,3.0,42.0,9.0
185,1.0,3.0,43.0,31.0
186,1.0,3.0,44.0,43.0
187,1.0,3.0,45.0,80.0
188,1.0,3.0,46.0,40.0
189,1.0,3.0,47.0,12.0
190,1.0,3.0,48.0,59.0
191,1.0,3.0,49.0,25.0
192,1.0,3.0,50.0,62.0
193,1.0,3.0,51.0,64.0
194,1.0,3.0,52.0,87.0
195,1.0,3.0,53.0,31.0
196,1.0,3.0,54.0,36.0
197,1.0,3.0,55.0,100.0
198,1.0,3.0,56.0,13.0
199,1.0,3.0,57.0,1.0
200,1.0,3.0,58.0,92.0
201,1.0,3.0,59.0,85.0
202,1.0,3.0,60.0,69.0
203,1.0,3.0,61.0,29.0
204,1.0,3.0,62.0,53.0
205,1.0,3.0,63.0,37.0
206,1.0,3.0,64.0,47.0
207,1.0,3.0,65.0,41.0
208,1.0,3.0,66.0,31.0
209,1.0,3.0,67.0,83.0
210,1.0,3.0,68.0,42.0
211,1.0,3.0,69.0,61.0
212,1.0,3.0,70.0,45.0
213,2.0,1.0,0.0,75.0
214,2.0,1.0,1.0,52.0
215,2.0,1.0,2.0,72.0
216,2.0,1.0,3.0,8.0
217,2.0,1.0,4.0,44.0
218,2.0,1.0,5.0,78.0
219,2.0,1.0,6.0,97.0
220,2.0,1.0,7.0,88.0
221,2.0,1.0,8.0,57.0
222,2.0,1.0,9.0,39.0
223,2.0,1.0,10.0,6.0
224,2.0,1.0,11.0,26.0
225,2.0,1.0,12.0,10.0
226,2.0,1.0,13.0,7.0
227,2.0,1.0,14.0,34.0
228,2.0,1.0,15.0,80.0
229,2.0,1.0,16.0,11.0
230,2.0,1.0,17.0,61.0
231,2.0,1.0,18.0,26.0
232,2.0,1.0,19.0,56.0
233,2.0,1.0,20.0,15.0
234,2.0,1.0,21.0,99.0
235,2.0,1.0,22.0,94.0
236,2.0,1.0,23.0,17.0
237,2.0,1.0,24.0,76.0
238,2.0,1.0,25.0,33.0
239,2.0,1.0,26.0,93.0
240,2.0,1.0,27.0,98.0
241,2.0,1.0,28.0,38.0
242,2.0,1.0,29.0,69.0
243,2.0,1.0,30.0,33.0
244,2.0,1.0,31.0,20.0
245,2.0,1.0,32.0,4.0
246,2.0,1.0,33.0,35.0
247,2.0,1.0,34.0,83.0
248,2.0,1.0,35.0,89.0
249,2.0,1.0,36.0,20.0
250,2.0,1.0,37.0,59.0
251,2.0,1.0,38.0,18.0
252,2.0,1.0,39.0,82.0
253,2.0,1.0,40.0,25.0
254,2.0,1.0,41.0,70.0
255,2.0,1.0,42.0,20.0
256,2.0,1.0,43.0,46.0
257,2.0,1.0,44.0,67.0
258,2.0,1.0,45.0,12.0
259,2.0,1.0,46.0,3.0
260,2.0,1.0,47.0,84.0
261,2.0,1.0,48.0,91.0
262,2.0,1.0,49.0,39.0
263,2.0,1.0,50.0,81.0
264,2.0,1.0,51.0,8.0
265,2.0,1.0,52.0,92.0
266,2.0,1.0,53.0,5.0
267,2.0,1.0,54.0,63.0
268,2.0,1.0,55.0,31.0
269,2.0,1.0,56.0,97.0
270,2.0,1.0,57.0,22.0
271,2.0,1.0,58.0,87.0
272,2.0,1.0,59.0,10.0
273,2.0,1.0,60.0,36.0
274,2.0,1.0,61.0,72.0
275,2.0,1.0,62.0,53.0
276,2.0,1.0,63.0,41.0
277,2.0,1.0,64.0,83.0
278,2.0,1.0,65.0,96.0
279,2.0,1.0,66.0,39.0
280,2.0,1.0,67.0,14.0
281,2.0,1.0,68.0,0.0
282,2.0,1.0,69.0,1.0
283,2.0,1.0,70.0,36.0
284,2.0,2.0,0.0,97.0
285,2.0,2.0,1.0,69.0
286,2.0,2.0,2.0,51.0
287,2.0,2.0,3.0,3.0
288,2.0,2.0,4.0,52.0
289,2.0,2.0,5.0,12.0
290,2.0,2.0,6.0,53.0
291,2.0,2.0,7.0,56.0
292,2.0,2.0,8.0,85.0
293,2.0,2.0,9.0,37.0
294,2.0,2.0,10.0,86.0
295,2.0,2.0,11.0,37.0
296,2.0,2.0,12.0,33.0
297,2.0,2.0,13.0,87.0
298,2.0,2.0,14.0,25.0
299,2.0,2.0,15.0,63.0
300,2.0,2.0,16.0,18.0
301,2.0,2.0,17.0,32.0
302,2.0,2.0,18.0,84.0
303,2.0,2.0,19.0,88.0
304,2.0,2.0,20.0,72.0
305,2.0,2.0,21.0,21.0
306,2.0,2.0,22.0,36.0
307,2.0,2.0,23.0,28.0
308,2.0,2.0,24.0,38.0
309,2.0,2.0,25.0,43.0
310,2.0,2.0,26.0,47.0
311,2.0,2.0,27.0,92.0
312,2.0,2.0,28.0,10.0
313,2.0,2.0,29.0,66.0
314,2.0,2.0,30.0,10.0
315,2.0,2.0,31.0,59.0
316,2.0,2.0,32.0,70.0
317,2.0,2.0,33.0,63.0
318,2.0,2.0,34.0,9.0
319,2.0,2.0,35.0,80.0
320,2.0,2.0,36.0,69.0
321,2.0,2.0,37.0,19.0
322,2.0,2.0,38.0,24.0
323,2.0,2.0,39.0,87.0
324,2.0,2.0,40.0,95.0
325,2.0,2.0,41.0,98.0
326,2.0,2.0,42.0,43.0
327,2.0,2.0,43.0,25.0
328,2.0,2.0,44.0,67.0
329,2.0,2.0,45.0,73.0
330,2.0,2.0,46.0,94.0
331,2.0,2.0,47.0,82.0
332,2.0,2.0,48.0,25.0
333,2.0,2.0,49.0,87.0
334,2.0,2.0,50.0,1.0
335,2.0,2.0,51.0,49.0
336,2.0,2.0,52.0,41.0
337,2.0,2.0,53.0,20.0
338,2.0,2.0,54.0,41.0
339,2.0,2.0,55.0,65.0
340,2.0,2.0,56.0,67.0
341,2.0,2.0,57.0,38.0
342,2.0,2.0,58.0,88.0
343,2.0,2.0,59.0,75.0
344,2.0,2.0,60.0,43.0
345,2.0,2.0,61.0,47.0
346,2.0,2.0,62.0,97.0
347,2.0,2.0,63.0,66.0
348,2.0,2.0,64.0,75.0
349,2.0,2.0,65.0,84.0
350,2.0,2.0,66.0,38.0
351,2.0,2.0,67.0,10.0
352,2.0,2.0,68.0,65.0
353,2.0,2.0,69.0,60.0
354,2.0,2.0,70.0,95.0
355,2.0,3.0,0.0,25.0
356,2.0,3.0,1.0,75.0
357,2.0,3.0,2.0,36.0
358,2.0,3.0,3.0,48.0
359,2.0,3.0,4.0,78.0
360,2.0,3.0,5.0,9.0
361,2.0,3.0,6.0,83.0
362,2.0,3.0,7.0,91.0
363,2.0,3.0,8.0,89.0
364,2.0,3.0,9.0,40.0
365,2.0,3.0,10.0,24.0
366,2.0,3.0,11.0,14.0
367,2.0,3.0,12.0,86.0
368,2.0,3.0,13.0,52.0
369,2.0,3.0,14.0,88.0
370,2.0,3.0,15.0,65.0
371,2.0,3.0,16.0,17.0
372,2.0,3.0,17.0,84.0
373,2.0,3.0,18.0,97.0
374,2.0,3.0,19.0,7.0
375,2.0,3.0,20.0,19.0
376,2.0,3.0,21.0,35.0
377,2.0,3.0,22.0,57.0
378,2.0,3.0,23.0,34.0
379,2.0,3.0,24.0,18.0
380,2.0,3.0,25.0,69.0
381,2.0,3.0,26.0,87.0
382,2.0,3.0,27.0,36.0
383,2.0,3.0,28.0,68.0
384,2.0,3.0,29.0,38.0
385,2.0,3.0,30.0,76.0
386,2.0,3.0,31.0,52.0
387,2.0,3.0,32.0,96.0
388,2.0,3.0,33.0,52.0
389,2.0,3.0,34.0,85.0
390,2.0,3.0,35.0,12.0
391,2.0,3.0,36.0,29.0
392,2.0,3.0,37.0,78.0
393,2.0,3.0,38.0,61.0
394,2.0,3.0,39.0,98.0
395,2.0,3.0,40.0,37.0
396,2.0,3.0,41.0,63.0
397,2.0,3.0,42.0,55.0
398,2.0,3.0,43.0,7.0
399,2.0,3.0,44.0,64.0
400,2.0,3.0,45.0,43.0
401,2.0,3.0,46.0,76.0
402,2.0,3.0,47.0,72.0
403,2.0,3.0,48.0,38.0
404,2.0,3.0,49.0,3.0
405,2.0,3.0,50.0,29.0
406,2.0,3.0,51.0,32.0
407,2.0,3.0,52.0,7.0
408,2.0,3.0,53.0,86.0
409,2.0,3.0,54.0,17.0
410,2.0,3.0,55.0,40.0
411,2.0,3.0,56.0,19.0
412,2.0,3.0,57.0,61.0
413,2.0,3.0,58.0,49.0
414,2.0,3.0,59.0,23.0
415,2.0,3.0,60.0,52.0
416,2.0,3.0,61.0,96.0
417,2.0,3.0,62.0,16.0
418,2.0,3.0,63.0,32.0
419,2.0,3.0,64.0,92.0
420,2.0,3.0,65.0,88.0
421,2.0,3.0,66.0,84.0
422,2.0,3.0,67.0,48.0
423,2.0,3.0,68.0,26.0
424,2.0,3.0,69.0,8.0
425,2.0,3.0,70.0,23.0
426,3.0,1.0,0.0,53.0
427,3.0,1.0,1.0,12.0
428,3.0,1.0,2.0,33.0
429,3.0,1.0,3.0,14.0
430,3.0,1.0,4.0,13.0
431,3.0,1.0,5.0,61.0
432,3.0,1.0,6.0,18.0
433,3.0,1.0,7.0,93.0
434,3.0,1.0,8.0,8.0
435,3.0,1.0,9.0,72.0
436,3.0,1.0,10.0,38.0
437,3.0,1.0,11.0,94.0
438,3.0,1.0,12.0,64.0
439,3.0,1.0,13.0,52.0
440,3.0,1.0,14.0,72.0
441,3.0,1.0,15.0,28.0
442,3.0,1.0,16.0,98.0
443,3.0,1.0,17.0,78.0
444,3.0,1.0,18.0,16.0
445,3.0,1.0,19.0,35.0
446,3.0,1.0,20.0,27.0
447,3.0,1.0,21.0,77.0
448,3.0,1.0,22.0,87.0
449,3.0,1.0,23.0,63.0
450,3.0,1.0,24.0,96.0
451,3.0,1.0,25.0,22.0
452,3.0,1.0,26.0,17.0
453,3.0,1.0,27.0,44.0
454,3.0,1.0,28.0,96.0
455,3.0,1.0,29.0,20.0
456,3.0,1.0,30.0,84.0
457,3.0,1.0,31.0,65.0
458,3.0,1.0,32.0,87.0
459,3.0,1.0,33.0,25.0
460,3.0,1.0,34.0,45.0
461,3.0,1.0,35.0,59.0
462,3.0,1.0,36.0,23.0
463,3.0,1.0,37.0,11.0
464,3.0,1.0,38.0,59.0
465,3.0,1.0,39.0,41.0
466,3.0,1.0,40.0,37.0
467,3.0,1.0,41.0,96.0
468,3.0,1.0,42.0,25.0
469,3.0,1.0,43.0,0.0
470,3.0,1.0,44.0,66.0
471,3.0,1.0,45.0,11.0
472,3.0,1.0,46.0,52.0
473,3.0,1.0,47.0,21.0
474,3.0,1.0,48.0,75.0
475,3.0,1.0,49.0,33.0
476,3.0,1.0,50.0,84.0
477,3.0,1.0,51.0,100.0
478,3.0,1.0,52.0,61.0
479,3.0,1.0,53.0,20.0
480,3.0,1.0,54.0,24.0
481,3.0,1.0,55.0,3.0
482,3.0,1.0,56.0,34.0
483,3.0,1.0,57.0,94.0
484,3.0,1.0,58.0,69.0
485,3.0,1.0,59.0,59.0
486,3.0,1.0,60.0,83.0
487,3.0,1.0,61.0,39.0
488,3.0,1.0,62.0,3.0
489,3.0,1.0,63.0,73.0
490,3.0,1.0,64.0,4.0
491,3.0,1.0,65.0,79.0
492,3.0,1.0,66.0,88.0
493,3.0,1.0,67.0,33.0
494,3.0,1.0,68.0,34.0
495,3.0,1.0,69.0,21.0
496,3.0,1.0,70.0,52.0
497,3.0,2.0,0.0,58.0
498,3.0,2.0,1.0,33.0
499,3.0,2.0,2.0,72.0
500,3.0,2.0,3.0,52.0
501,3.0,2.0,4.0,43.0
502,3.0,2.0,5.0,33.0
503,3.0,2.0,6.0,82.0
504,3.0,2.0,7.0,95.0
505,3.0,2.0,8.0,73.0
506,3.0,2.0,9.0,3.0
507,3.0,2.0,10.0,99.0
508,3.0,2.0,11.0,48.0
509,3.0,2.0,12.0,72.0
510,3.0,2.0,13.0,5.0
511,3.0,2.0,14.0,3.0
512,3.0,2.0,15.0,87.0
513,3.0,2.0,16.0,27.0
514,3.0,2.0,17.0,60.0
515,3.0,2.0,18.0,91.0
516,3.0,2.0,19.0,7.0
517,3.0,2.0,20.0,21.0
518,3.0,2.0,21.0,41.0
519,3.0,2.0,22.0,16.0
520,3.0,2.0,23.0,9.0
521,3.0,2.0,24.0,57.0
522,3.0,2.0,25.0,43.0
523,3.0,2.0,26.0,90.0
524,3.0,2.0,27.0,49.0
525,3.0,2.0,28.0,31.0
526,3.0,2.0,29.0,49.0
527,3.0,2.0,30.0,38.0
528,3.0,2.0,31.0,87.0
529,3.0,2.0,32.0,94.0
530,3.0,2.0,33.0,27.0
531,3.0,2.0,34.0,11.0
532,3.0,2.0,35.0,35.0
533,3.0,2.0,36.0,20.0
534,3.0,2.0,37.0,20.0
535,3.0,2.0,38.0,48.0
536,3.0,2.0,39.0,81.0
537,3.0,2.0,40.0,10.0
538,3.0,2.0,41.0,49.0
539,3.0,2.0,42.0,89.0
540,3.0,2.0,43.0,0.0
541,3.0,2.0,44.0,18.0
542,3.0,2.0,45.0,20.0
543,3.0,2.0,46.0,55.0
544,3.0,2.0,47.0,73.0
545,3.0,2.0,48.0,91.0
546,3.0,2.0,49.0,16.0
547,3.0,2.0,50.0,45.0
548,3.0,2.0,51.0,53.0
549,3.0,2.0,52.0,72.0
550,3.0,2.0,53.0,67.0
551,3.0,2.0,54.0,0.0
552,3.0,2.0,55.0,6.0
553,3.0,2.0,56.0,55.0
554,3.0,2.0,57.0,24.0
555,3.0,2.0,58.0,55.0
556,3.0,2.0,59.0,86.0
557,3.0,2.0,60.0,99.0
558,3.0,2.0,61.0,97.0
559,3.0,2.0,62.0,1.0
560,3.0,2.0,63.0,18.0
561,3.0,2.0,64.0,89.0
562,3.0,2.0,65.0,42.0
563,3.0,2.0,66.0,56.0
564,3.0,2.0,67.0,72.0
565,3.0,2.0,68.0,41.0
566,3.0,2.0,69.0,13.0
567,3.0,2.0,70.0,64.0
568,3.0,3.0,0.0,97.0
569,3.0,3.0,1.0,96.0
570,3.0,3.0,2.0,24.0
571,3.0,3.0,3.0,13.0
572,3.0,3.0,4.0,30.0
573,3.0,3.0,5.0,5.0
574,3.0,3.0,6.0,69.0
575,3.0,3.0,7.0,31.0
576,3.0,3.0,8.0,64.0
577,3.0,3.0,9.0,63.0
578,3.0,3.0,10.0,6.0
579,3.0,3.0,11.0,25.0
580,3.0,3.0,12.0,28.0
581,3.0,3.0,13.0,68.0
582,3.0,3.0,14.0,87.0
583,3.0,3.0,15.0,43.0
584,3.0,3.0,16.0,15.0
585,3.0,3.0,17.0,86.0
586,3.0,3.0,18.0,82.0
587,3.0,3.0,19.0,50.0
588,3.0,3.0,20.0,4.0
589,3.0,3.0,21.0,60.0
590,3.0,3.0,22.0,90.0
591,3.0,3.0,23.0,53.0
592,3.0,3.0,24.0,56.0
593,3.0,3.0,25.0,20.0
594,3.0,3.0,26.0,88.0
595,3.0,3.0,27.0,20.0
596,3.0,3.0,28.0,26.0
597,3.0,3.0,29.0,56.0
598,3.0,3.0,30.0,46.0
599,3.0,3.0,31.0,58.0
600,3.0,3.0,32.0,87.0
601,3.0,3.0,33.0,49.0
602,3.0,3.0,34.0,29.0
603,3.0,3.0,35.0,26.0
604,3.0,3.0,36.0,26.0
605,3.0,3.0,37.0,65.0
606,3.0,3.0,38.0,100.0
607,3.0,3.0,39.0,100.0
608,3.0,3.0,40.0,60.0
609,3.0,3.0,41.0,22.0
610,3.0,3.0,42.0,35.0
611,3.0,3.0,43.0,61.0
612,3.0,3.0,44.0,67.0
613,3.0,3.0,45.0,59.0
614,3.0,3.0,46.0,98.0
615,3.0,3.0,47.0,18.0
616,3.0,3.0,48.0,76.0
617,3.0,3.0,49.0,25.0
618,3.0,3.0,50.0,79.0
619,3.0,3.0,51.0,32.0
620,3.0,3.0,52.0,54.0
621,3.0,3.0,53.0,26.0
622,3.0,3.0,54.0,14.0
623,3.0,3.0,55.0,49.0
624,3.0,3.0,56.0,80.0
625,3.0,3.0,57.0,89.0
626,3.0,3.0,58.0,34.0
627,3.0,3.0,59.0,71.0
628,3.0,3.0,60.0,20.0
629,3.0,3.0,61.0,24.0
630,3.0,3.0,62.0,13.0
631,3.0,3.0,63.0,54.0
632,3.0,3.0,64.0,15.0
633,3.0,3.0,65.0,52.0
634,3.0,3.0,66.0,43.0
635,3.0,3.0,67.0,31.0
636,3.0,3.0,68.0,28.0
637,3.0,3.0,69.0,99.0
638,3.0,3.0,70.0,6.0
639,4.0,1.0,0.0,71.0
640,4.0,1.0,1.0,46.0
641,4.0,1.0,2.0,12.0
642,4.0,1.0,3.0,12.0
643,4.0,1.0,4.0,87.0
644,4.0,1.0,5.0,9.0
645,4.0,1.0,6.0,18.0
646,4.0,1.0,7.0,67.0
647,4.0,1.0,8.0,96.0
648,4.0,1.0,9.0,71.0
649,4.0,1.0,10.0,41.0
650,4.0,1.0,11.0,47.0
651,4.0,1.0,12.0,20.0
652,4.0,1.0,13.0,58.0
653,4.0,1.0,14.0,88.0
654,4.0,1.0,15.0,59.0
655,4.0,1.0,16.0,3.0
656,4.0,1.0,17.0,7.0
657,4.0,1.0,18.0,50.0
658,4.0,1.0,19.0,31.0
659,4.0,1.0,20.0,11.0
660,4.0,1.0,21.0,3.0
661,4.0,1.0,22.0,98.0
662,4.0,1.0,23.0,98.0
663,4.0,1.0,24.0,24.0
664,4.0,1.0,25.0,33.0
665,4.0,1.0,26.0,56.0
666,4.0,1.0,27.0,91.0
667,4.0,1.0,28.0,64.0
668,4.0,1.0,29.0,85.0
669,4.0,1.0,30.0,58.0
670,4.0,1.0,31.0,92.0
671,4.0,1.0,32.0,15.0
672,4.0,1.0,33.0,45.0
673,4.0,1.0,34.0,92.0
674,4.0,1.0,35.0,60.0
675,4.0,1.0,36.0,67.0
676,4.0,1.0,37.0,81.0
677,4.0,1.0,38.0,75.0
678,4.0,1.0,39.0,28.0
679,4.0,1.0,40.0,51.0
680,4.0,1.0,41.0,94.0
681,4.0,1.0,42.0,47.0
682,4.0,1.0,43.0,68.0
683,4.0,1.0,44.0,37.0
684,4.0,1.0,45.0,93.0
685,4.0,1.0,46.0,14.0
686,4.0,1.0,47.0,22.0
687,4.0,1.0,48.0,16.0
688,4.0,1.0,49.0,11.0
689,4.0,1.0,50.0,26.0
690,4.0,1.0,51.0,0.0
691,4.0,1.0,52.0,11.0
692,4.0,1.0,53.0,48.0
693,4.0,1.0,54.0,81.0
694,4.0,1.0,55.0,17.0
695,4.0,1.0,56.0,15.0
696,4.0,1.0,57.0,23.0
697,4.0,1.0,58.0,96.0
698,4.0,1.0,59.0,81.0
699,4.0,1.0,60.0,85.0
700,4.0,1.0,61.0,75.0
701,4.0,1.0,62.0,61.0
702,4.0,1.0,63.0,17.0
703,4.0,1.0,64.0,47.0
704,4.0,1.0,65.0,31.0
705,4.0,1.0,66.0,11.0
706,4.0,1.0,67.0,12.0
707,4.0,1.0,68.0,51.0
708,4.0,1.0,69.0,6.0
709,4.0,1.0,70.0,86.0
710,4.0,2.0,0.0,65.0
711,4.0,2.0,1.0,79.0
712,4.0,2.0,2.0,11.0
713,4.0,2.0,3.0,53.0
714,4.0,2.0,4.0,18.0
715,4.0,2.0,5.0,31.0
716,4.0,2.0,6.0,34.0
717,4.0,2.0,7.0,44.0
718,4.0,2.0,8.0,88.0
719,4.0,2.0,9.0,89.0
720,4.0,2.0,10.0,26.0
721,4.0,2.0,11.0,90.0
722,4.0,2.0,12.0,15.0
723,4.0,2.0,13.0,45.0
724,4.0,2.0,14.0,84.0
725,4.0,2.0,15.0,48.0
726,4.0,2.0,16.0,90.0
727,4.0,2.0,17.0,53.0
728,4.0,2.0,18.0,71.0
729,4.0,2.0,19.0,74.0
730,4.0,2.0,20.0,76.0
731,4.0,2.0,21.0,7.0
732,4.0,2.0,22.0,80.0
733,4.0,2.0,23.0,16.0
734,4.0,2.0,24.0,76.0
735,4.0,2.0,25.0,79.0
736,4.0,2.0,26.0,74.0
737,4.0,2.0,27.0,61.0
738,4.0,2.0,28.0,95.0
739,4.0,2.0,29.0,64.0
740,4.0,2.0,30.0,71.0
741,4.0,2.0,31.0,90.0
742,4.0,2.0,32.0,46.0
743,4.0,2.0,33.0,84.0
744,4.0,2.0,34.0,49.0
745,4.0,2.0,35.0,46.0
746,4.0,2.0,36.0,84.0
747,4.0,2.0,37.0,23.0
748,4.0,2.0,38.0,0.0
749,4.0,2.0,39.0,81.0
750,4.0,2.0,40.0,98.0
751,4.0,2.0,41.0,40.0
752,4.0,2.0,42.0,69.0
753,4.0,2.0,43.0,85.0
754,4.0,2.0,44.0,97.0
755,4.0,2.0,45.0,81.0
756,4.0,2.0,46.0,61.0
757,4.0,2.0,47.0,50.0
758,4.0,2.0,48.0,8.0
759,4.0,2.0,49.0,99.0
760,4.0,2.0,50.0,62.0
761,4.0,2.0,51.0,57.0
762,4.0,2.0,52.0,53.0
763,4.0,2.0,53.0,63.0
764,4.0,2.0,54.0,90.0
765,4.0,2.0,55.0,73.0
766,4.0,2.0,56.0,14.0
767,4.0,2.0,57.0,60.0
768,4.0,2.0,58.0,4.0
769,4.0,2.0,59.0,56.0
770,4.0,2.0,60.0,96.0
771,4.0,2.0,61.0,48.0
772,4.0,2.0,62.0,16.0
773,4.0,2.0,63.0,86.0
774,4.0,2.0,64.0,93.0
775,4.0,2.0,65.0,49.0
