,index,label_Chinese,label_English,function_name,function_Chinese,function_English,group_label_Chinese,group_label_English,machine_obj_Chinese,machine_obj_English
10,10.0,铝箔纸凸轮轴循环中点无,FOIL CAM AXIS: NO MID0CYCLE,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,铝箔纸组件,FOIL GROUP,主机,xx_main_machine
11,11.0,铝箔纸鼓轮未转动,FOIL DRUM NOT TURNING,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,铝箔纸组件,FOIL GROUP,主机,xx_main_machine
12,12.0,铝箔纸预松卷电机扭钜输出过载,OVERLOAD OF MOTOR TORQUE OUTPUT OF FOIL,xx_foil_preunwinding_function,功能: 铝箔纸预展开,FUNCTION: FOIL PRE0UNWINDING,铝箔纸组件,FOIL GROUP,主机,xx_main_machine
13,13.0,上槽重复小包／排除堵塞,UPPER BEAM RETREAT PACKET/EXTRACTION JAM,xx_beam_upper_packet_pos_function,上槽小包控制功能,UPPER BEAM PACKET CONTROL FUNCTION,梁架组件,CONVEYOR GROUP,主机,xx_main_machine
14,14.0,上槽入口处的小包检测无效,UPPER BEAM ENTRANCE PACK CONTR. INEFF.,xx_beam_upper_packet_pos_function,上槽小包控制功能,UPPER BEAM PACKET CONTROL FUNCTION,梁架组件,CONVEYOR GROUP,主机,xx_main_machine
15,15.0,商标纸无印刷,NO PRINT ON BLANKS,xx_blank_1drum_print_check_function,功能: 盒片印刷检测,FUNCTION: BLANK PRINT CHECK,盒片部件,BLANK GROUP,主机,xx_main_machine
16,16.0,故障：商标纸印刷检测,FAIL: BLANK PRINT CHECK,xx_blank_1drum_print_check_function,功能: 盒片印刷检测,FUNCTION: BLANK PRINT CHECK,盒片部件,BLANK GROUP,主机,xx_main_machine
17,17.0,鼓轮2 上无商标纸　　,NO BLANK ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
18,18.0,鼓轮2 上商标纸错位：延缓　　,BAD BLANK POSITION ON 2ND DRUM: LATE,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
19,19.0,故障：鼓轮2 上商标纸的存在,FAULT: BLANK PRESENCE ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
20,20.0,鼓轮2 上商标纸的存在：内侧检测故障,2ND DRUM BLANK PRESENCE: INNER CHK FAULT,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
21,21.0,鼓轮2 上商标纸未对直,DISALIGNED BLANK ON 2ND DRUM,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
22,22.0,鼓轮2 上商标纸错位：提前　　　　,BAD BLANK POSITION ON 2ND DRUM: EARLY,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
23,23.0,鼓轮2 上商标纸的存在：外侧检测故障,2ND DRUM BLANK PRESENCE: OUTER CHK FAULT,xx_blank_2drum_pres_align_function,功能: 鼓轮2上盒片存在与对直,FUNCT.: PRES./ALIGN 0 BLANKS 2ND DRUM,盒片部件,BLANK GROUP,主机,xx_main_machine
24,24.0,鼓轮3 上缺失第一前耳的检测    　,BLANKS WITH NO 1ST FRONT BLANK0EAR DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,盒片部件,BLANK GROUP,主机,xx_main_machine
25,25.0,鼓轮3 上无第二前耳的商标纸      　,BLANKS WITH NO 2ND FRONT BLANK0EAR DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,盒片部件,BLANK GROUP,主机,xx_main_machine
26,26.0,故障：鼓轮3 上前部商标纸耳检测,FAULT: FRONT BLANK0EAR CHECK 0 DRUM3,xx_blank_belt_front_flap_check_function,功能: 皮带上的前部盒片耳检测,FUNCTION: FRONT BLANK0EAR CHECK ON BELT,盒片部件,BLANK GROUP,主机,xx_main_machine
27,27.0,鼓轮3 皮带上商标纸检测器：检测失效,BLANK PRES. ON 3RD D. BELT: INEFF. CHECK,xx_blank_belt_presence_check_function,皮带上盒片存在检测功能,BLANK PRESENCE ON BELT CHECK FUNCTION,盒片部件,BLANK GROUP,主机,xx_main_machine
28,28.0,鼓轮3 皮带上缺商标纸,BLANK ABSENT ON 3RD DRUM BELT,xx_blank_belt_presence_check_function,皮带上盒片存在检测功能,BLANK PRESENCE ON BELT CHECK FUNCTION,盒片部件,BLANK GROUP,主机,xx_main_machine
29,29.0,关闭商标纸部件停机,BLANK GROUP STOP BYPASS,xx_blank_checks_disable_function,功能: 关闭盒片部件停机,FUNCTION: BLANK GROUP STOP BYPASS,盒片部件,BLANK GROUP,主机,xx_main_machine
30,30.0,商标纸胶缸啮合超时,ENGAGED BLANK GLUER TIME OUT,xx_blank_gluer_disengage_function,功能: 盒片涂胶器脱开,FUNCTION: BLANK GLUER RELEASE,盒片部件,BLANK GROUP,主机,xx_main_machine
31,31.0,未超时的涂胶器再联机,MISSED TIMEOUT GLUER RE0ENGAGE,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,盒片部件,BLANK GROUP,主机,xx_main_machine
32,32.0,涂胶器转动／啮合时异常,MALFUNCTION ON ROTATION/GLUER ENGAGE,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,盒片部件,BLANK GROUP,主机,xx_main_machine
33,33.0,盒片涂胶器不转动  BLANK,GLUER NOT TURNING,xx_blank_gluer_motion_check_function,功能: 涂胶器转动检测,FUNCTION: GLUER ROTATION CHECK,盒片部件,BLANK GROUP,主机,xx_main_machine
34,34.0,输送器越过后退极限位置,TRANSLATOR OUT FROM BACK END OF RUN,xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,盒片部件,BLANK GROUP,主机,xx_main_machine
35,35.0,输送器越过前进极限位置,TRANSLATOR OUT FROM FORWARD END OF RUN,xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,盒片部件,BLANK GROUP,主机,xx_main_machine
36,36.0,输送器料库和钳子未停止,"TRANSLATOR IN HOPPER, PINCERS NOT CLOSED",xx_blank_stack_feed_cycle_function,功能: 盒片叠供料循环,FUNCTION: BLANK STACK FEED CYCLE,盒片部件,BLANK GROUP,主机,xx_main_machine
